コード,仕入先名,合計原価,手数料,ハイビー会費,支払計
01AHS,ホテルマイステイズプレミア札幌パーク,114150,11220,0,102930
01BHK,ベッセルホテルカンパーナすすきの,637670,82900,0,554773
01BIS,ベッセルイン札幌中島公園,158290,20577,0,137714
01CTZ,ＡＮＡクラウンプラザホテル千歳,42680,4268,0,38412
01FPH,クインテッサホテル札幌,143330,18634,1432,123265
01FSS,相鉄フレッサイン札幌すすきの,216920,21692,2168,193060
01GRH,札幌グランドホテル,35200,3520,0,31680
01HKH,函館国際ホテル,38000,4862,374,32764
01HLO,グランドパーク小樽,48070,6249,480,41341
01HME,ホテルモントレエーデルホフ札幌,59400,7722,594,51084
01HMN,はまなす観光バス株式会社,231680,32010,0,199670
01HPH,ホテルパークヒルズ,28900,3718,0,25182
01JRH,北海道旅客鉄道株式会社（JR北海道）,170260,0,0,170260
01JRN,ＪＲタワーホテル日航札幌,114620,11462,0,103158
01KEK,ホテル京阪　札幌,95700,12442,0,83260
01KGM,札幌場外市場「北のグルメ」,3300,330,33,2937
01KYI,札幌東急REIホテル,72490,9424,724,62342
01LHE,ラ・ジェント・ステイ函館駅前,42400,5434,0,36966
01NES,ホテルネッツ札幌,56760,5676,0,51084
01NOV,プレミアホテル中島公園 札幌,105600,13728,0,91872
01QSS,クインテッサホテル札幌すすきの,159060,20680,0,138380
01RBA,ラビスタ函館ベイ ANNEX,39900,5940,0,33960
01RHB,ラビスタ函館ベイ,302800,44880,0,257920
01RMD,ANAホリデイ・イン札幌すすきの,213400,27456,0,185944
01RSH,ﾌﾟﾚﾐｱﾎﾃﾙTSUBAKI札幌,18150,2360,0,15791
01RSS,ホテルロンシャンサッポロ,146300,19019,0,127281
01S1W,ホテルグレイスリー札幌,13530,1759,0,11771
01SAH,ANAクラウンプラザホテル札幌,27500,4125,0,23375
01SDH,知床第一ホテル,34700,5115,341,29244
01SMH,HOTEL&SPA　センチュリーマリーナ函館,115600,14872,0,100728
01SNS,ソラリア西鉄ホテル札幌,491700,49170,0,442530
01SPE,札幌エクセルホテル東急,95480,12413,953,82114
01SPT,札幌プリンスホテル,2883295,212927,0,2670368
01STB,フェアフィールド・バイ・マリオット札幌,249700,32460,2493,214747
01TRI,ホテルリソルトリニティ札幌,99000,12870,0,86130
01YUG,イマジン　ホテル＆リゾート函館,62200,9240,616,52344
13YOK,赤坂陽光ホテル,23300,2330,0,20970
39OHK,オリエントﾎﾃﾙ高知,180400,17226,0,163174
40IOJ,株式会社イデックスオート・ジャパン,483900,72585,0,411315
45FNX,ﾌｪﾆｯｸｽｼｰｶﾞｲｱﾘｿﾞｰﾄ,270000,19383,0,250617
45SGO,シェラトン・グランデ・オーシャン,102900,10290,0,92610
46BYM,ばしゃ山村,366300,35750,0,330550
46HSK,指宿白水館,821950,102960,0,718990
47ACN,ホテルアクアチッタナハ by WBF,363000,50820,3630,308550
47ATG,ジ・アッタテラスゴルフリゾート,45600,2167,0,43433
47BCC,かねひで喜瀬カントリークラブ,512980,36000,0,476980
47BHK,ベッセルホテルカンパーナ沖縄,154300,21947,1463,130894
47BUS,ザ・ブセナテラス,156600,21924,1566,133110
47EMC,EMｳｪﾙﾈｽ暮らしの発酵ﾗｲﾌｽﾀｲﾙﾘｿﾞｰﾄ,41800,6270,418,35112
47GRG,GRGホテル那覇,163400,24510,0,138890
47GRM,ホテル グランメール,128040,17926,1280,108834
47HAV,ホテル日航アリビラ,2487550,306360,22831,2158359
47HOS,ヒルトン沖縄瀬底リゾート,533500,78375,5225,449900
47HPR,ホテルパ-ムロイヤルリゾート国際通り,496980,69577,4969,422434
47HRK,ヒューイットリゾート那覇,40700,6105,407,34188
47IEJ,伊江島観光バス,265580,30646,0,234934
47IOJ,株式会社イデックスオート・ジャパン,253500,38331,2535,212634
47JCC,株式会社ジェイシーシー,442750,40040,3080,399630
47JCN,ホテルJALシティ那覇,109450,16418,1094,91939
